CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
1,5,2,1,5,3,2,12033.6823,0
2,3,3,1,5,2,2,21579.2115,0
3,3,3,4,3,3,2,20043.8925,0
4,2,3,1,5,3,1,21793.3678,1
5,2,1,1,5,1,3,13900.4068,1
6,2,3,1,2,1,2,19712.6649,1
7,2,3,1,4,3,1,21304.4017,1
8,3,3,2,3,3,1,22073.6463,0
9,3,2,1,3,3,2,19689.1633,0
10,3,3,1,5,3,2,11108.9163,0
11,3,2,1,2,4,3,22386.3929,0
12,1,2,1,5,1,2,12868.1023,1
13,4,3,1,5,1,3,9879.7232,0
14,2,1,1,5,1,3,14052.8508,1
15,3,3,1,2,2,1,22386.3929,0
16,2,3,5,4,2,3,5007.2256,1
17,2,3,1,2,1,1,24377.4595,1
18,2,2,1,4,2,1,11108.9163,1
19,1,3,1,3,2,1,14146.183,1
20,3,3,1,3,3,2,23769.8113,0
21,3,3,1,3,1,2,19419.7496,0
22,4,2,3,3,1,3,44091.6919,0
23,3,3,5,1,2,3,26564.0534,0
24,2,3,1,3,2,2,13150.606,1
25,2,3,1,2,1,2,18746.3744,1
26,3,3,1,3,1,2,15327.3057,0
27,2,3,1,3,2,1,18880.3487,1
28,3,3,1,2,2,3,36242.7783,0
29,3,3,2,2,1,2,24602.1489,0
30,4,3,1,5,1,2,16302.7652,0
31,3,2,2,2,1,3,26867.235,0
32,5,3,3,3,1,3,33308.8772,0
33,5,3,4,3,2,3,22420.6834,0
34,5,3,4,5,3,3,16834.7006,0
35,4,2,4,2,1,2,42203.7391,0
36,2,2,2,2,3,1,27385.2386,1
37,2,3,1,4,1,2,9731.6919,1
38,3,3,1,5,2,3,10151.1496,0
39,2,3,1,2,1,1,13758.0583,1
40,2,3,1,4,1,2,15092.0511,1
41,2,3,1,3,2,2,12953.5659,1
42,3,2,2,5,1,3,21050.3141,0
43,2,3,1,3,2,2,15464.7741,1
44,3,3,1,2,2,2,20250.2455,0
45,3,2,1,2,3,2,16098.9296,0
46,3,2,3,2,1,3,78692.7234,0
47,2,2,1,3,3,2,18038.7617,1
48,5,3,1,5,1,3,16302.7652,0
49,1,4,1,3,2,1,15091.212,1
50,2,2,3,4,2,2,11377.0649,1
51,3,3,2,2,3,3,23235.1701,0
52,3,1,1,4,2,2,8441.2201,0
53,2,2,1,2,2,1,12111.1869,1
54,2,4,3,3,3,2,28952.7311,1
55,1,3,3,5,2,2,20185.446,1
56,2,3,1,2,4,3,34027.5749,1
57,4,3,3,3,1,2,44091.6919,0
58,3,1,1,3,2,3,16844.592,0
59,2,3,1,3,1,3,13095.626,1
60,3,3,1,2,1,1,15280.2056,0
61,3,3,1,5,1,2,16562.8515,0
62,2,2,1,5,1,3,15472.8743,1
63,3,2,1,5,3,3,16329.0748,0
64,2,3,1,4,1,1,15525.1982,1
65,3,3,1,4,2,2,13063.8424,0
66,3,2,1,2,1,3,28383.1341,0
67,3,3,1,2,1,1,13967.3358,0
68,1,3,1,2,1,1,23346.0505,1
69,2,3,1,2,2,3,15280.2056,1
70,2,3,1,5,1,2,13914.758,1
71,1,3,1,2,1,1,23445.1546,1
72,3,2,1,4,3,3,17523.5629,0
73,3,2,1,5,3,3,16733.4566,0
74,2,3,1,5,2,3,14140.9356,1
75,1,3,4,4,4,3,19484.1217,1
76,1,2,1,3,1,1,22689.5099,1
77,3,3,1,3,1,2,17821.3844,0
78,5,3,1,4,2,1,12153.1069,0
79,2,3,1,2,2,2,24619.3862,1
80,3,2,1,4,1,3,10512.3875,0
81,3,3,3,3,1,2,43044.9865,0
82,3,3,1,2,3,3,20411.4205,0
83,3,3,1,4,2,3,13063.8424,0
84,3,2,1,5,1,2,15321.6202,0
85,2,3,1,4,1,1,13063.8424,1
86,4,1,1,4,1,3,20174.8978,0
87,2,3,1,1,4,2,18265.9019,1
88,3,2,1,4,2,3,21793.3678,0
89,3,2,1,5,2,3,16814.7934,0
90,5,3,1,3,2,3,24347.811,0
91,2,2,1,3,1,2,18880.3487,1
92,3,2,1,3,2,3,20089.3827,0
93,3,2,5,5,4,3,6372.5699,0
94,3,2,1,2,1,3,28784.3601,0
95,3,2,2,4,1,3,21493.2073,0
96,4,1,1,5,2,2,15321.6202,0
97,3,3,1,4,2,3,16142.5632,0
98,3,3,1,2,4,2,30155.2989,0
99,4,2,1,5,1,3,27746.4885,0
100,2,3,1,3,2,2,14149.361,1
101,2,3,1,3,2,2,25652.3835,1
102,3,2,1,5,2,4,26883.5313,0
103,2,3,1,3,1,2,13813.4652,1
104,1,1,1,3,1,1,15529.7006,1
106,3,2,1,5,2,3,21793.3678,0
107,2,3,1,5,2,3,21515.8307,1
108,3,3,1,2,2,2,18596.2755,0
109,2,3,1,5,1,2,8930.4961,1
110,1,3,1,5,2,2,9028.787899999999,1
111,4,3,1,4,2,2,27473.8328,0
112,4,3,1,3,1,1,25577.0393,0
113,3,3,1,2,3,1,16098.9296,0
114,2,5,1,5,3,3,9028.787899999999,1
115,2,3,1,5,1,3,21579.2115,1
116,3,3,1,4,1,2,23429.6804,0
117,2,3,1,3,1,1,19612.475,1
118,3,1,3,4,1,3,39606.6613,0
119,3,2,2,4,2,2,10953.9648,0
120,2,3,1,5,2,1,16302.7652,1
121,3,3,1,3,1,2,32659.6408,0
122,1,1,3,5,4,2,17159.0665,1
123,3,3,2,2,3,3,30885.9165,0
124,2,3,1,4,2,1,10739.5377,1
125,2,3,1,3,1,3,27029.4281,1
126,3,3,1,2,1,3,14715.7153,0
127,4,3,2,4,1,1,37098.8271,0
128,2,4,1,4,1,2,19790.4153,1
129,3,3,1,3,1,2,16308.8148,0
130,1,3,1,2,1,2,21612.2715,1
131,3,3,2,5,1,3,17173.8704,0
132,1,3,1,5,1,1,16302.7652,1
133,4,3,1,2,3,1,13758.0583,0
134,3,1,1,5,2,2,12033.6823,0
135,2,3,4,5,1,2,11435.6574,1
136,3,3,1,4,1,3,9118.3914,0
137,3,2,1,3,1,2,15700.0129,0
138,1,1,1,2,3,3,23602.0837,1
139,3,3,1,3,2,2,12225.0555,0
140,3,3,1,5,3,3,12641.8712,0
141,3,2,1,5,1,3,10151.1496,0
142,2,2,4,2,1,3,32228.2411,1
143,3,2,2,5,2,3,10965.274,0
144,2,3,1,3,2,1,16200.3783,1
145,4,3,1,2,2,1,13758.0583,0
146,3,3,1,2,2,2,17903.5345,0
147,3,3,3,4,4,2,22087.8618,0
149,3,3,2,3,2,2,15954.8828,0
150,5,3,4,2,2,3,36936.9117,0
151,2,3,4,4,1,3,20771.9856,1
152,3,3,1,3,1,3,13704.3897,0
153,5,1,1,4,1,4,18215.8346,0
154,3,3,1,2,3,2,16098.9296,0
155,3,1,1,5,2,2,10965.4948,0
156,3,3,1,2,2,2,29857.8076,0
157,3,2,5,4,2,3,4064.5996,0
158,3,2,4,4,1,1,13164.0939,0
159,2,3,1,3,1,2,14149.361,1
160,1,3,1,2,3,1,14981.7128,1
161,4,3,1,4,1,2,21883.5087,0
162,2,2,5,4,2,2,3666.6386,1
163,2,3,1,4,2,3,19917.9717,1
164,2,3,1,4,2,2,6774.3699,1
165,3,3,1,3,2,3,13992.7265,0
166,2,3,1,2,1,2,17215.2353,1
167,2,3,1,3,2,1,14104.0969,1
168,3,2,1,5,2,2,20846.6562,0
169,3,3,1,2,3,2,23443.4148,0
170,2,2,1,3,2,2,19771.8252,1
171,3,3,1,5,1,3,16899.5227,0
173,2,2,3,4,1,2,20185.446,1
174,4,3,1,3,2,2,12953.5659,0
175,2,2,1,5,3,3,13289.8954,1
176,2,3,1,2,1,1,15923.6687,1
177,3,3,1,5,2,3,11881.0489,0
178,3,3,1,3,1,3,16361.1544,0
180,2,3,1,2,1,3,31689.7412,1
181,3,1,1,3,1,2,16705.3888,0
182,3,3,1,2,1,2,16098.9296,0
183,3,3,1,3,1,2,24781.5552,0
184,3,3,4,5,2,2,11435.6574,0
185,3,3,1,2,1,2,15051.257,0
186,4,1,1,4,3,1,21279.8529,0
